time,log
2021-11-24 08:34:33, sell stock: VOO
2021-11-24 08:34:34, sell stock: VOO
2021-11-24 08:34:43, sell stock: VOO
2021-11-24 08:34:45, sell stock: VOO
2021-11-24 08:34:54, sell stock: VOO
2021-11-24 08:34:55, sell stock: VOO
2021-11-24 08:35:05, sell stock: VOO
2021-11-24 08:35:06, sell stock: VOO
2021-11-24 08:35:15, sell stock: VOO
2021-11-24 08:35:17, sell stock: VOO
2021-11-24 08:35:26, sell stock: VOO
2021-11-24 08:35:27, sell stock: VOO
2021-11-24 08:35:37, sell stock: VOO
2021-11-24 08:35:38, sell stock: VOO
2021-11-24 08:35:47, sell stock: VOO
2021-11-24 08:35:48, sell stock: VOO
2021-11-24 08:35:58, sell stock: VOO
2021-11-24 08:35:59, sell stock: VOO
2021-11-24 08:36:09, sell stock: VOO
2021-11-24 08:36:10, sell stock: VOO
